time,gFx,gFy,gFz,TgF
0.798318,-0.1181,0.2136,1.0685,1.096
0.800767,-0.1171,0.2169,1.0506,1.079
0.803227,-0.1369,0.2218,1.0303,1.063
0.805818,-0.1403,0.2216,1.0173,1.051
0.808354,-0.1557,0.2262,1.0019,1.039
0.810856,-0.1674,0.2257,0.9753,1.015
0.813307,-0.1687,0.2301,0.9678,1.009
0.815896,-0.1846,0.2167,0.9343,0.977
0.818277,-0.1904,0.2294,0.9255,0.972
0.820788,-0.1929,0.2204,0.9155,0.961
0.823367,-0.1929,0.2267,0.9050,0.953
0.826058,-0.2000,0.2184,0.9033,0.951
0.828347,-0.2058,0.2238,0.9003,0.950
0.830832,-0.1985,0.2231,0.8884,0.937
0.833319,-0.1956,0.2229,0.8852,0.934
0.835827,-0.1919,0.2218,0.8913,0.938
0.838643,-0.2063,0.2152,0.8881,0.937
0.840873,-0.2054,0.2233,0.8751,0.926
0.843396,-0.2119,0.2250,0.8756,0.929
0.845913,-0.2147,0.2189,0.8656,0.918
0.848358,-0.2183,0.2157,0.8632,0.916
0.850822,-0.2215,0.2131,0.8419,0.896
0.853646,-0.2249,0.2123,0.8392,0.894
0.855935,-0.2298,0.2050,0.8351,0.890
0.858361,-0.2345,0.2115,0.8402,0.898
0.860854,-0.2352,0.2162,0.8421,0.901
0.863371,-0.2477,0.2157,0.8238,0.887
0.865829,-0.2401,0.2096,0.8231,0.883
0.868348,-0.2435,0.2010,0.8209,0.880
0.870884,-0.2352,0.1996,0.8202,0.876
0.873417,-0.2268,0.2067,0.8138,0.870
0.876142,-0.2254,0.2040,0.8187,0.873
0.878342,-0.2142,0.1962,0.8218,0.872
0.880934,-0.2237,0.1954,0.8253,0.877
0.883361,-0.2154,0.1952,0.8214,0.871
0.885967,-0.2068,0.1930,0.8262,0.873
0.888604,-0.1988,0.1764,0.8297,0.871
0.890919,-0.3344,0.1493,0.8507,0.926
0.893394,-0.1981,0.1710,0.8607,0.900
0.895896,-0.1965,0.1607,0.8463,0.884
0.898412,-0.1723,0.1698,0.8622,0.896
0.900861,-0.1638,0.1661,0.8658,0.897
0.903343,-0.1480,0.1663,0.8768,0.905
0.906411,-0.1387,0.1703,0.8779,0.905
0.908465,-0.1226,0.1761,0.8986,0.924
0.910927,-0.1154,0.1808,0.9018,0.927
0.913417,-0.1096,0.1833,0.9106,0.935
0.915931,-0.1198,0.1805,0.9159,0.941
0.918404,-0.1076,0.1820,0.9264,0.950
0.920911,-0.1105,0.1864,0.9143,0.940
0.923471,-0.0788,0.1881,0.9159,0.938
0.926685,-0.1210,0.1930,0.8791,0.908
0.928387,-0.1520,0.1893,0.8908,0.923
0.930945,-0.1545,0.1915,0.9079,0.941
0.933585,-0.1580,0.1879,0.9094,0.942
0.936028,-0.1577,0.1926,0.9311,0.964
0.938746,-0.1513,0.1820,0.9448,0.974
0.940944,-0.1433,0.1805,0.9555,0.983
0.943409,-0.1367,0.1779,0.9656,0.991
0.945868,-0.1506,0.1926,0.9621,0.993
0.948529,-0.1484,0.2006,0.9660,0.998
0.950942,-0.1420,0.1922,0.9658,0.995
0.953359,-0.1438,0.1979,0.9641,0.995
0.955997,-0.1389,0.2022,0.9798,1.010
0.958480,-0.1345,0.2031,0.9700,1.000
0.960941,-0.1303,0.2077,0.9781,1.008
0.963524,-0.1279,0.2106,0.9893,1.020
0.965934,-0.1262,0.2047,0.9856,1.015
0.968415,-0.1252,0.2047,0.9888,1.017
0.970949,-0.1282,0.2087,0.9900,1.020
0.973464,-0.1382,0.1959,1.0019,1.030
0.976224,-0.0863,0.1928,0.9700,0.993
0.978470,-0.0947,0.1979,1.0350,1.058
0.981022,-0.1137,0.1935,1.0210,1.045
0.983441,-0.1250,0.2031,1.0287,1.056
0.985929,-0.1362,0.1966,1.0650,1.092
0.988680,-0.1415,0.2055,1.0655,1.094
0.991025,-0.1477,0.2055,1.0683,1.098
0.993513,-0.1557,0.2138,1.0560,1.089
0.995999,-0.1589,0.2167,1.0569,1.091
0.998542,-0.1799,0.2292,1.0523,1.092
1.000984,-0.1811,0.2338,1.0380,1.079
1.003455,-0.2147,0.2372,1.0308,1.079
1.007185,-0.2183,0.2169,1.0296,1.075
1.008486,-0.1944,0.2358,1.0228,1.067
1.011095,-0.1399,0.2556,1.0124,1.054
1.013658,-0.1222,0.2487,0.9993,1.037
1.016347,-0.0922,0.2570,0.9984,1.035
1.018594,-0.0802,0.2649,0.9963,1.034
1.020985,-0.0670,0.2665,1.0047,1.042
1.023535,-0.0729,0.2734,0.9996,1.039
1.026032,-0.0773,0.2658,1.0035,1.041
1.028462,-0.0729,0.2742,1.0019,1.041
1.030981,-0.0734,0.2690,0.9898,1.028
1.033630,-0.0578,0.2756,0.9935,1.033
1.036091,-0.0663,0.2709,0.9851,1.024
1.039217,-0.0487,0.2658,1.0066,1.042
1.041240,-0.0462,0.2585,1.0000,1.034
1.043589,-0.0441,0.2536,1.0122,1.044
1.046079,-0.0467,0.2565,1.0169,1.050
1.048685,-0.0741,0.2411,1.0262,1.057
1.052110,-0.0930,0.2343,1.0228,1.053
1.053683,-0.1061,0.2238,1.0208,1.050
1.057025,-0.1489,0.2038,1.0093,1.040
1.060145,-0.1739,0.1905,1.0010,1.034
1.068991,-0.2086,0.1798,0.9821,1.020
1.069737,-0.2207,0.1759,0.9539,0.995
1.070278,-0.2281,0.1656,0.9297,0.971
1.071042,-0.2127,0.1759,0.9111,0.952
1.071689,-0.1953,0.1747,0.8966,0.934
1.084443,-0.1819,0.1835,0.8796,0.917
1.085203,-0.1809,0.1786,0.8478,0.885
1.086931,-0.1589,0.1820,0.8323,0.867
1.087394,-0.1821,0.1908,0.8835,0.922
1.087793,-0.2415,0.1695,0.8866,0.934
1.088496,-0.2834,0.1607,0.9062,0.963
1.088978,-0.3188,0.1424,0.8996,0.965
1.091791,-0.3754,0.1323,0.8768,0.963
1.289145,-0.4090,0.1221,0.8822,0.980
1.289949,-0.4519,0.1041,0.8930,1.006
1.290489,-0.5150,0.0826,0.8935,1.035
1.291190,-0.5649,0.0647,0.9215,1.083
1.291691,-0.6047,0.0439,0.8893,1.076
1.292282,-0.6487,0.0229,0.8311,1.055
1.292886,-0.7173,-0.0161,0.7681,1.051
1.293657,-0.8085,-0.0664,0.7330,1.093
1.294379,-0.8897,-0.1018,0.7163,1.147
1.295451,-0.9615,-0.1381,0.6972,1.196
1.296407,-0.9879,-0.1563,0.6415,1.188
1.297287,-0.9943,-0.1666,0.6114,1.179
1.298301,-0.9686,-0.1344,0.6335,1.165
1.299634,-0.9561,-0.0941,0.6796,1.177
1.300831,-0.9390,0.0579,0.8285,1.254
1.302352,-0.8726,0.1341,0.8959,1.258
1.303654,-0.8193,0.1715,0.9128,1.238
1.304251,-0.7466,0.2045,0.9588,1.232
1.304886,-0.7254,0.2123,0.9171,1.188
1.305413,-0.6611,0.2152,0.9262,1.158
1.306497,-0.5656,0.2111,0.9387,1.116
1.307547,-0.5578,0.1952,0.9138,1.088
1.308841,-0.5402,0.1857,0.8832,1.052
1.310114,-0.5607,0.1199,0.8353,1.013
1.311080,-0.6541,-0.0119,0.7458,0.992
1.311732,-0.7433,-0.1459,0.6894,1.024
1.312371,-0.7909,-0.2458,0.6307,1.041
1.312952,-0.7978,-0.3035,0.6176,1.054
1.313580,-0.7536,-0.3128,0.6283,1.030
1.314358,-0.6780,-0.2871,0.6522,0.984
1.315851,-0.5742,-0.2470,0.6833,0.926
1.316748,-0.4583,-0.1855,0.6982,0.855
1.317893,-0.3549,-0.1344,0.7009,0.797
1.319788,-0.2943,-0.1185,0.7219,0.789
1.320842,-0.2317,-0.1151,0.7153,0.761
1.322014,-0.1900,-0.1168,0.7246,0.758
1.322950,-0.1471,-0.1134,0.7407,0.764
1.324497,-0.1159,-0.1153,0.7681,0.785
1.327318,-0.0797,-0.1070,0.8043,0.815
1.328644,-0.0585,-0.1141,0.8388,0.849
1.329653,-0.0431,-0.1060,0.8796,0.887
1.330224,-0.0421,-0.1009,0.9094,0.916
1.331047,-0.0634,-0.0978,0.9502,0.957
1.331555,-0.0567,-0.0892,0.9741,0.980
