time,gFx,gFy,gFz,TgF
0.475490,-0.0692,0.3436,0.9729,1.034
0.476968,-0.0744,0.3467,0.9741,1.037
0.479345,-0.0724,0.3401,0.9830,1.043
0.482075,-0.0744,0.3429,0.9905,1.051
0.485050,-0.0716,0.3499,0.9988,1.061
0.486713,-0.0756,0.3504,0.9863,1.049
0.489505,-0.0732,0.3578,1.0024,1.067
0.493662,-0.0709,0.3702,0.9991,1.068
0.494846,-0.0616,0.3655,0.9986,1.065
0.496796,-0.0621,0.3687,1.0019,1.069
0.499646,-0.0672,0.3683,0.9879,1.056
0.503486,-0.0660,0.3641,0.9800,1.048
0.504335,-0.0580,0.3739,0.9790,1.050
0.512743,-0.0506,0.3655,0.9734,1.041
0.513677,-0.0527,0.3807,0.9611,1.035
0.514093,-0.0458,0.3758,0.9541,1.026
0.514587,-0.0392,0.3709,0.9326,1.004
0.516914,-0.0397,0.3670,0.9206,0.992
0.519124,-0.0378,0.3643,0.9274,0.997
0.521583,-0.0367,0.3599,0.9022,0.972
0.525201,-0.0455,0.3445,0.8986,0.963
0.527007,-0.0614,0.3331,0.8771,0.940
0.529802,-0.0623,0.3250,0.8598,0.921
0.532765,-0.0668,0.3201,0.8458,0.907
0.535186,-0.0572,0.3220,0.8238,0.886
0.537026,-0.0553,0.3056,0.8136,0.871
0.539498,-0.0644,0.3093,0.8069,0.867
0.542053,-0.0607,0.2937,0.7864,0.842
0.544496,-0.0651,0.2915,0.7740,0.830
0.547062,-0.0563,0.2891,0.7717,0.826
0.549502,-0.0688,0.2900,0.7540,0.811
0.551944,-0.0490,0.2935,0.7673,0.823
0.554162,0.0042,0.3226,0.9326,0.987
0.558954,0.0665,0.3345,1.1051,1.157
0.559643,0.0692,0.3418,1.1161,1.169
0.561762,0.0429,0.3318,1.0795,1.130
0.564238,0.0057,0.3287,1.0084,1.061
0.567074,-0.0013,0.3105,0.9607,1.010
0.569341,-0.0001,0.3257,0.9355,0.991
0.571815,-0.0345,0.3274,0.9213,0.978
0.575423,-0.1958,0.3448,0.9697,1.048
0.577181,-0.2000,0.3413,0.9651,1.043
0.579229,-0.1929,0.3340,0.9567,1.032
0.581748,-0.1736,0.3359,0.9602,1.032
0.584474,-0.1555,0.3259,0.9585,1.024
0.587140,-0.1335,0.3226,0.9421,1.005
0.589521,-0.1266,0.3105,0.9374,0.996
0.592427,-0.1137,0.3142,0.9353,0.993
0.594430,-0.1024,0.3077,0.9343,0.989
0.597704,-0.1076,0.2966,0.9443,0.996
0.599882,-0.0944,0.2996,0.9472,0.998
0.602071,-0.0912,0.2849,0.9527,0.999
0.604706,-0.0846,0.2919,0.9588,1.006
0.608883,-0.0873,0.2849,0.9497,0.995
0.609850,-0.0837,0.2937,0.9634,1.011
0.612130,-0.0805,0.2854,0.9660,1.011
0.614545,-0.0721,0.2879,0.9665,1.011
0.617266,-0.0781,0.2886,0.9912,1.035
0.619564,-0.0839,0.2886,0.9858,1.031
0.621902,-0.0793,0.2868,0.9981,1.041
0.625809,-0.0819,0.2966,0.9914,1.038
0.627194,-0.0868,0.2937,1.0059,1.052
0.629698,-0.0888,0.2944,0.9935,1.040
0.632415,-0.0886,0.2944,1.0040,1.050
0.634697,-0.0863,0.2996,1.0049,1.052
0.637243,-0.0961,0.2895,0.9914,1.037
0.639930,-0.0800,0.2942,1.0012,1.047
0.643614,-0.0863,0.2942,0.9891,1.036
0.644386,-0.0873,0.2966,0.9776,1.025
0.646877,-0.0979,0.2932,0.9781,1.026
0.649358,-0.0879,0.2866,0.9746,1.020
0.651778,-0.0809,0.2819,0.9607,1.004
0.654318,-0.0900,0.2942,0.9576,1.006
0.658319,-0.0879,0.2891,0.9497,0.997
0.659328,-0.0914,0.2827,0.9531,0.998
0.661867,-0.0959,0.2924,0.9453,0.994
0.665051,-0.0937,0.2805,0.9357,0.981
0.666957,-0.0956,0.2900,0.9397,0.988
0.669450,-0.1037,0.2954,0.9341,0.985
0.672059,-0.1028,0.2886,0.9218,0.971
0.675560,-0.0935,0.2839,0.9292,0.976
0.677593,-0.1028,0.2944,0.9311,0.982
0.679856,-0.0981,0.2849,0.9267,0.974
0.682445,-0.0961,0.2932,0.9208,0.971
0.684733,-0.0983,0.2932,0.9238,0.974
0.687151,-0.1030,0.2963,0.9367,0.988
0.691942,-0.0961,0.2966,0.9509,1.001
0.692623,-0.0998,0.3012,0.9539,1.005
0.695592,-0.1040,0.3047,0.9497,1.003
0.697264,-0.1037,0.3089,0.9546,1.009
0.703328,-0.0998,0.3135,0.9716,1.026
0.703817,-0.0973,0.3068,0.9632,1.016
0.705070,-0.1059,0.3079,0.9658,1.019
0.709623,-0.0973,0.3152,0.9644,1.019
0.710898,-0.1000,0.3166,0.9639,1.019
0.712130,-0.0937,0.3110,0.9614,1.015
0.715233,-0.0991,0.3140,0.9644,1.019
0.717473,-0.0886,0.3101,0.9724,1.025
0.719638,-0.0919,0.3179,0.9602,1.016
0.722000,-0.0863,0.3164,0.9567,1.011
0.725720,-0.0663,0.3182,0.9343,0.989
0.727258,-0.0683,0.3133,0.9054,0.960
0.729572,-0.0443,0.3177,0.8959,0.952
0.732337,-0.0248,0.3226,0.8588,0.918
0.735266,0.0062,0.3279,0.8143,0.878
0.737022,0.0228,0.3464,0.7994,0.872
0.739634,0.0320,0.3399,0.7864,0.857
0.742869,0.0277,0.3406,0.8038,0.873
0.744540,-0.0050,0.3218,0.8351,0.895
0.747312,-0.0252,0.2993,0.8707,0.921
0.749928,-0.0429,0.2819,0.8812,0.926
0.752420,-0.0551,0.2737,0.9010,0.943
0.754929,-0.0541,0.2644,0.9228,0.961
0.758837,-0.0560,0.2746,0.9201,0.962
0.760026,-0.0744,0.2695,0.9001,0.943
0.762155,-0.0939,0.2734,0.9164,0.961
0.764888,-0.1157,0.2639,0.8982,0.943
0.767300,-0.1306,0.2558,0.9159,0.960
